RecordDate,CountryCurrency,ExchangeRate
30/06/2018,canada-dollar,1.324
30/06/2018,chile-peso,649.27
30/06/2018,china-renminbi,6.618
30/06/2018,cote d'ivoire-cfa franc,580.14
30/06/2018,croatia-kuna,6.22
30/06/2018,ethiopia-birr,27.26
30/06/2018,fiji-dollar,2.072
30/06/2018,iceland-krona,105.78
30/06/2018,india-rupee,68.3
30/06/2018,indonesia-rupiah,14350
30/06/2018,jamaica-dollar,128
30/06/2018,korea-won,1112.01
30/06/2018,nepal-rupee,110.05
30/06/2018,philippines-peso,53.324
30/06/2018,qatar-riyal,3.64
30/06/2018,rwanda-franc,870
30/06/2018,sweden-krona,8.957
30/06/2018,switzerland-franc,0.992
30/06/2018,taiwan-dollar,30.424
30/06/2018,thailand-baht,33.08
30/09/2018,australia-dollar,1.386
30/09/2018,bahamas-dollar,1
30/09/2018,bangladesh-taka,83
30/09/2018,bolivia-boliviano,6.85
30/09/2018,canada-dollar,1.301
30/09/2018,chile-peso,661.16
30/09/2018,china-renminbi,6.88
30/09/2018,cote d'ivoire-cfa franc,556.92
30/09/2018,croatia-kuna,6.18
30/09/2018,ethiopia-birr,27.59
30/09/2018,fiji-dollar,2.098
30/09/2018,iceland-krona,110.97
30/09/2018,india-rupee,72.25
30/09/2018,indonesia-rupiah,14910
30/09/2018,jamaica-dollar,132
30/09/2018,korea-won,1109.7
30/09/2018,nepal-rupee,115.55
30/09/2018,philippines-peso,54.086
30/09/2018,qatar-riyal,3.64
30/09/2018,rwanda-franc,880
30/09/2018,sweden-krona,8.892
30/09/2018,switzerland-franc,0.977
30/09/2018,taiwan-dollar,30.487
30/09/2018,thailand-baht,32.35
31/12/2018,australia-dollar,1.416
31/12/2018,bahamas-dollar,1
31/12/2018,bangladesh-taka,84
31/12/2018,bolivia-boliviano,6.85
31/12/2018,canada-dollar,1.362
31/12/2018,chile-peso,693.08
31/12/2018,china-renminbi,6.876
31/12/2018,cote d'ivoire-cfa franc,568.65
31/12/2018,croatia-kuna,6.31
31/12/2018,ethiopia-birr,28.04
31/12/2018,fiji-dollar,2.108
31/12/2018,iceland-krona,116.11
31/12/2018,india-rupee,69.8
31/12/2018,indonesia-rupiah,14440
31/12/2018,jamaica-dollar,126
31/12/2018,korea-won,1114.49
31/12/2018,nepal-rupee,111.6
31/12/2018,philippines-peso,52.49
31/12/2018,qatar-riyal,3.64
31/12/2018,rwanda-franc,890
31/12/2018,sweden-krona,8.938
31/12/2018,switzerland-franc,0.984
31/12/2018,taiwan-dollar,30.588
31/12/2018,thailand-baht,32.35
31/03/2019,australia-dollar,1.409
31/03/2019,bahamas-dollar,1
31/03/2019,bangladesh-taka,84
31/03/2019,bolivia-boliviano,6.86
31/03/2019,canada-dollar,1.341
31/03/2019,chile-peso,677.22
31/03/2019,china-renminbi,6.713
31/03/2019,cote d'ivoire-cfa franc,576.45
31/03/2019,croatia-kuna,6.47
31/03/2019,ethiopia-birr,28.49
31/03/2019,fiji-dollar,2.104
31/03/2019,iceland-krona,122.28
31/03/2019,india-rupee,68.7
31/03/2019,indonesia-rupiah,14220
31/03/2019,jamaica-dollar,128
31/03/2019,korea-won,1135.05
31/03/2019,nepal-rupee,110.05
31/03/2019,philippines-peso,52.62
31/03/2019,qatar-riyal,3.64
31/03/2019,rwanda-franc,890
31/03/2019,sweden-krona,9.258
31/03/2019,switzerland-franc,0.996
31/03/2019,taiwan-dollar,30.837
31/03/2019,thailand-baht,31.71
30/06/2019,australia-dollar,1.427
30/06/2019,bahamas-dollar,1
30/06/2019,bangladesh-taka,84
30/06/2019,bolivia-boliviano,6.86
30/06/2019,canada-dollar,1.309
30/06/2019,chile-peso,678.8
30/06/2019,china-renminbi,6.869
30/06/2019,cote d'ivoire-cfa franc,573.5
30/06/2019,croatia-kuna,6.35
30/06/2019,ethiopia-birr,28.9
30/06/2019,fiji-dollar,2.105
30/06/2019,iceland-krona,124.52
30/06/2019,india-rupee,68.6
30/06/2019,indonesia-rupiah,14115
30/06/2019,jamaica-dollar,132
30/06/2019,korea-won,1154.45
30/06/2019,nepal-rupee,110.55
30/06/2019,philippines-peso,51.346
30/06/2019,qatar-riyal,3.641
30/06/2019,rwanda-franc,910
30/06/2019,sweden-krona,9.284
30/06/2019,switzerland-franc,0.976
30/06/2019,taiwan-dollar,31.004
30/06/2019,thailand-baht,30.67
30/09/2019,australia-dollar,1.481
30/09/2019,bahamas-dollar,1
30/09/2019,bangladesh-taka,84
30/09/2019,bolivia-boliviano,6.84
30/09/2019,canada-dollar,1.325
30/09/2019,chile-peso,728.1
30/09/2019,china-renminbi,7.143
30/09/2019,cote d'ivoire-cfa franc,596
30/09/2019,croatia-kuna,6.62
30/09/2019,ethiopia-birr,29.28
30/09/2019,fiji-dollar,2.161
30/09/2019,iceland-krona,123.82
30/09/2019,india-rupee,70.2
30/09/2019,indonesia-rupiah,14115
30/09/2019,jamaica-dollar,136
30/09/2019,korea-won,1198.2
30/09/2019,nepal-rupee,113.15
30/09/2019,philippines-peso,51.901
30/09/2019,qatar-riyal,3.642
30/09/2019,rwanda-franc,910
30/09/2019,sweden-krona,9.818
30/09/2019,switzerland-franc,0.997
30/09/2019,taiwan-dollar,31.052
30/09/2019,thailand-baht,30.6
31/12/2019,australia-dollar,1.425
31/12/2019,bahamas-dollar,1
31/12/2019,bangladesh-taka,85
31/12/2019,bolivia-boliviano,6.83
31/12/2019,canada-dollar,1.3
31/12/2019,chile-peso,851.71
31/12/2019,china-renminbi,6.961
31/12/2019,cote d'ivoire-cfa franc,582
31/12/2019,croatia-kuna,6.49
31/12/2019,ethiopia-birr,31.8
31/12/2019,fiji-dollar,2.142
31/12/2019,iceland-krona,135.13
31/12/2019,india-rupee,71
31/12/2019,indonesia-rupiah,13895
31/12/2019,jamaica-dollar,136
31/12/2019,korea-won,1153.7
31/12/2019,nepal-rupee,113.75
31/12/2019,philippines-peso,50.64
31/12/2019,qatar-riyal,3.64
31/12/2019,rwanda-franc,925
31/12/2019,sweden-krona,9.301
31/12/2019,switzerland-franc,0.966
31/12/2019,taiwan-dollar,29.942
31/12/2019,thailand-baht,29.77
31/03/2020,australia-dollar,1.464
31/03/2020,bahamas-dollar,1
31/03/2020,bangladesh-taka,85
31/03/2020,bolivia-boliviano,6.82
31/03/2020,canada-dollar,1.426
31/03/2020,chile-peso,851.58
31/03/2020,china-renminbi,7.099
31/03/2020,cote d'ivoire-cfa franc,589
31/03/2020,croatia-kuna,6.77
31/03/2020,ethiopia-birr,32.78
31/03/2020,fiji-dollar,2.278
31/03/2020,iceland-krona,142.02
31/03/2020,india-rupee,75
31/03/2020,indonesia-rupiah,14285
31/03/2020,jamaica-dollar,137
31/03/2020,korea-won,1223.57
31/03/2020,nepal-rupee,120.2
31/03/2020,philippines-peso,50.98
31/03/2020,qatar-riyal,3.64
31/03/2020,rwanda-franc,940
31/03/2020,sweden-krona,10.118
31/03/2020,switzerland-franc,0.967
31/03/2020,taiwan-dollar,30.278
31/03/2020,thailand-baht,32.78
30/06/2020,australia-dollar,1.459
30/06/2020,bahamas-dollar,1
30/06/2020,bangladesh-taka,85
30/06/2020,bolivia-boliviano,6.83
30/06/2020,canada-dollar,1.368
30/06/2020,chile-peso,819.85
30/06/2020,china-renminbi,7.069
30/06/2020,cote d'ivoire-cfa franc,593.02
30/06/2020,croatia-kuna,6.55
30/06/2020,ethiopia-birr,34.98
30/06/2020,fiji-dollar,2.139
30/06/2020,iceland-krona,138.73
30/06/2020,india-rupee,75.3
30/06/2020,indonesia-rupiah,14230
30/06/2020,jamaica-dollar,145
30/06/2020,korea-won,1201.29
30/06/2020,nepal-rupee,120.6
30/06/2020,philippines-peso,49.85
30/06/2020,qatar-riyal,3.641
30/06/2020,rwanda-franc,940
30/06/2020,sweden-krona,9.372
30/06/2020,switzerland-franc,0.951
30/06/2020,taiwan-dollar,29.453
30/06/2020,thailand-baht,30.91
30/09/2020,australia-dollar,1.405
30/09/2020,bahamas-dollar,1
30/09/2020,bangladesh-taka,85
30/09/2020,bolivia-boliviano,6.83
30/09/2020,canada-dollar,1.338
30/09/2020,chile-peso,788.39
30/09/2020,china-renminbi,6.807
30/09/2020,cote d'ivoire-cfa franc,556
30/09/2020,croatia-kuna,6.32
30/09/2020,ethiopia-birr,36.722
30/09/2020,fiji-dollar,2.097
30/09/2020,iceland-krona,138.4
30/09/2020,india-rupee,73.72
30/09/2020,indonesia-rupiah,14900
30/09/2020,jamaica-dollar,150
30/09/2020,korea-won,1169.28
30/09/2020,nepal-rupee,117.65
30/09/2020,philippines-peso,48.481
30/09/2020,qatar-riyal,3.64
30/09/2020,rwanda-franc,950
30/09/2020,sweden-krona,9.026
30/09/2020,switzerland-franc,0.923
30/09/2020,taiwan-dollar,28.963
30/09/2020,thailand-baht,31.67
31/12/2020,australia-dollar,1.294
31/12/2020,bahamas-dollar,1
31/12/2020,bangladesh-taka,85
31/12/2020,bolivia-boliviano,6.81
31/12/2020,canada-dollar,1.275
31/12/2020,chile-peso,709.75
31/12/2020,china-renminbi,6.54
31/12/2020,cote d'ivoire-cfa franc,529
31/12/2020,croatia-kuna,5.95
31/12/2020,ethiopia-birr,39.181
31/12/2020,fiji-dollar,2.004
31/12/2020,iceland-krona,127.11
31/12/2020,india-rupee,73.034
31/12/2020,indonesia-rupiah,14028
31/12/2020,jamaica-dollar,150
31/12/2020,korea-won,1087.66
31/12/2020,nepal-rupee,117
31/12/2020,philippines-peso,48.173
31/12/2020,qatar-riyal,3.64
31/12/2020,rwanda-franc,950
31/12/2020,sweden-krona,8.172
31/12/2020,switzerland-franc,0.881
31/12/2020,taiwan-dollar,28.074
31/12/2020,thailand-baht,29.92
